MESH2_ID,図名・漢字,図名・よみ,号数
654203.000,富良野,ふらの,旭川12号-2
654204.000,本幸,ほんこう,旭川8号-4
654205.000,十勝岳,とかちだけ,旭川8号-2
654206.000,チカベツ山,ちかべつやま,旭川4号-4
654207.000,ペンケベツ,ぺんけべつ,旭川4号-2
654300.000,ウペペサンケ山,うぺぺさんけやま,北見16号-4
654301.000,糠平,ぬかびら,北見16号-2
654302.000,芽登温泉,めとうおんせん,北見12号-4
654303.000,喜登牛,きとうし,北見12号-2
654304.000,上利別,かみとしべつ,北見8号-4
654305.000,大誉地,およち,北見8号-2
654306.000,上足寄,かみあしょろ,北見4号-4
654307.000,オンネトー,おんねとう,北見4号-2
654400.000,雌阿寒岳,めあかんだけ,斜里16号-4
654401.000,ピリカネップ,ぴりかねっぷ,斜里16号-2
654402.000,奥久著呂,おくくちょろ,斜里12号-4
654403.000,上オソツベツ,かみおそつべつ,斜里12号-2
654404.000,磯分内,いそぶんない,斜里8号-4
654405.000,泉川,いずみかわ,斜里8号-2
654406.000,西春別,にししゅんべつ,斜里4号-4
654407.000,中西別,なかにしべつ,斜里4号-2
654500.000,豊原,とよはら,標津16号-4
654501.000,別海,べつかい,標津16号-2
654502.000,本別海,ほんべつかい,標津12号-4
654503.000,,,
654504.000,,,
654505.000,根室北部,ねむろほくぶ,標津8号-2
654506.000,納沙布,のさっぷ,標津4号-4
654507.000,,,
644072.000,神威岬,かむいみさき,岩内9号-3
644073.000,余別,よべつ,岩内9号-1
644074.000,美国,びくに,岩内5号-3
644075.000,古平,ふるびら,岩内5号-1
644076.000,,,
644077.000,,,
644170.000,,,
644171.000,,,
644172.000,,,
644173.000,望来,もうらい,札幌9号-1
644174.000,弁華別,べんけべつ,札幌5号-3
644175.000,市南,しなん,札幌5号-1
644176.000,美唄,びばい,札幌1号-3
644177.000,幾春別,いくしゅんべつ,札幌1号-1
644270.000,芦別湖,あしべつこ,夕張岳13号-3
644271.000,崕山,きりぎしやま,夕張岳13号-1
644272.000,布部岳,ぬのべだけ,夕張岳9号-3
644273.000,布部,ぬのべ,夕張岳9号-1
644274.000,麓郷,ろくごう,夕張岳5号-3
644275.000,シーソラプチ川,しーそらぷちがわじょうりゅ,夕張岳5号-1
644276.000,十勝ペンケ山,とかちぺんけやま,夕張岳1号-3
644277.000,ニペソツ,にぺそつ,夕張岳1号-1
644370.000,然別湖,しかりべつこ,帯広13号-3
644371.000,勢多山,せたやま,帯広13号-1
644372.000,萩ヶ岡,はぎがおか,帯広9号-3
644373.000,芽登,めとう,帯広9号-1
644374.000,愛冠,あいかっぷ,帯広5号-3
644375.000,螺湾,らわん,帯広5号-1
644376.000,上螺湾,かみらわん,帯広1号-3
644377.000,シュンクシタカ,しゅんくしたからこ,帯広1号-1
644470.000,上徹別,かみてしべつ,釧路13号-3
644471.000,上幌呂,かみほろろ,釧路13号-1
644472.000,茂雪裡,もせつり,釧路9号-3
644473.000,中久著呂,なかくちょろ,釧路9号-1
644474.000,標茶,しべちゃ,釧路5号-3
644475.000,上チャンベツ,かみちゃんべつ,釧路5号-1
644476.000,フッポウシ川,ふっぽうしがわ,釧路1号-3
644477.000,矢臼別,やうすべつ,釧路1号-1
644570.000,上風連,かみふうれん,根室13号-3
644571.000,奥行,おくゆき,根室13号-1
644572.000,風蓮,ふうれん,根室9号-3
644573.000,東梅,とうばい,根室9号-1
644574.000,根室南部,ねむろなんぶ,根室5号-3
644575.000,友知,ともしり,根室5号-1
644576.000,,,
644577.000,,,
644062.000,珊内,さんない,岩内9号-4
644063.000,ポンネアンチシ,ぽんねあんちしやま,岩内9号-2
644064.000,両古美山,りょうこびやま,岩内5号-4
644065.000,豊浜,とよはま,岩内5号-2
644066.000,余市,よいち,岩内1号-4
644067.000,小樽西部,おたるせいぶ,岩内1号-2
644160.000,小樽東部,おたるとうぶ,札幌13号-4
644161.000,,,
644162.000,石狩,いしかり,札幌9号-4
644163.000,太美,ふとみ,札幌9号-2
644164.000,石狩当別,いしかりとうべつ,札幌5号-4
644165.000,上幌向,かみほろむい,札幌5号-2
644166.000,岩見沢,いわみざわ,札幌1号-4
644167.000,三笠,みかさ,札幌1号-2
644260.000,桂沢湖,かつらざわこ,夕張岳13号-4
644261.000,幾春別岳,いくしゅんべつだけ,夕張岳13号-2
644262.000,芦別岳,あしべつだけ,夕張岳9号-4
644263.000,山部,やまべ,夕張岳9号-2
644264.000,西達布,にしたっぷ,夕張岳5号-4
644265.000,北落合,きたおちあい,夕張岳5号-2
644266.000,佐幌岳,さほろだけ,夕張岳1号-4
644267.000,岩松,いわまつ,夕張岳1号-2
644360.000,東ヌプカウシヌ,ひがしぬぷかうしぬぷり,帯広13号-4
644361.000,中音更,なかおとふけ,帯広13号-2
644362.000,上士幌,かみしほろ,帯広9号-4
644363.000,活込,かっこみ,帯広9号-2
